                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0186,                0.98781,                 1.5895,                0.95308,                      1,                0.99167,                 0.7562,                0.87348,                0.59857,                 1.3176,               0.001585,               0.001585,               0.001585
                     87,                0.98727,                0.73165,                  1.475,                0.95176,                      1,                0.99333,                0.77954,                0.87286,                0.58015,                 1.3074,               0.001486,               0.001486,               0.001486
                     88,                0.89965,                0.71452,                 1.4356,                 0.9563,                      1,                0.99167,                0.77021,                 0.8854,                 0.5866,                 1.3343,               0.001387,               0.001387,               0.001387
                     89,                0.93945,                 0.7189,                 1.4282,                0.95585,                      1,                0.99333,                0.77774,                0.88286,                0.58886,                 1.3469,               0.001288,               0.001288,               0.001288
                     90,                0.72638,                 0.6266,                 1.2572,                 0.9877,                      1,                  0.995,                0.76656,                0.87771,                0.60454,                 1.3577,               0.001189,               0.001189,               0.001189
                     91,                 0.6681,                0.61775,                 1.2365,                0.95496,                      1,                0.98792,                0.74786,                0.90145,                 0.6109,                 1.3847,                0.00109,                0.00109,                0.00109
                     92,                0.67895,                0.60189,                   1.27,                0.95424,                      1,                0.96792,                0.73171,                0.88095,                0.63049,                 1.3706,               0.000991,               0.000991,               0.000991
                     93,                0.69214,                0.58086,                 1.2481,                0.94847,                      1,                0.97333,                0.74328,                0.86975,                 0.6213,                 1.3612,               0.000892,               0.000892,               0.000892
                     94,                0.63684,                 0.5655,                 1.2018,                0.95157,                      1,                0.97542,                0.73031,                 0.8871,                0.62209,                 1.3669,               0.000793,               0.000793,               0.000793
                     95,                0.65767,                0.61978,                 1.2498,                0.95419,                      1,                0.98625,                0.75901,                0.87537,                0.59196,                 1.3339,               0.000694,               0.000694,               0.000694
                     96,                0.60998,                0.53681,                 1.1717,                0.95613,                      1,                0.99167,                0.76161,                0.85539,                0.57453,                 1.3137,               0.000595,               0.000595,               0.000595
                     97,                0.64231,                0.54412,                 1.1808,                0.95655,                      1,                0.99333,                0.76939,                0.84838,                0.56132,                  1.301,               0.000496,               0.000496,               0.000496
                     98,                0.58623,                0.53017,                  1.156,                 0.9558,                      1,                0.99333,                0.77782,                0.85053,                0.56545,                 1.3036,               0.000397,               0.000397,               0.000397
                     99,                0.62962,                0.52384,                  1.202,                0.95554,                      1,                0.99333,                0.77802,                0.85026,                 0.5559,                 1.2987,               0.000298,               0.000298,               0.000298
