                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0353,                 0.9252,                  1.558,                0.88258,                0.83133,                0.87538,                0.65096,                 1.0565,                  2.587,                 1.5012,                0.00703,                0.00703,                0.00703
                     47,                 1.0408,                0.91529,                 1.5545,                0.87866,                  0.698,                0.78949,                0.45292,                 1.3171,                 3.2244,                 1.7903,               0.006964,               0.006964,               0.006964
                     48,                 1.0292,                0.92314,                 1.5431,                0.83948,                0.88218,                0.89412,                0.68114,                 1.0066,                 1.4605,                 1.4204,               0.006898,               0.006898,               0.006898
                     49,                 1.0365,                0.88881,                 1.5382,                0.95741,                0.81928,                0.88089,                0.65997,                0.93781,                 1.2242,                 1.4148,               0.006832,               0.006832,               0.006832
                     50,                  1.058,                0.91977,                 1.5851,                 0.8659,                0.85578,                0.88432,                0.66677,                0.97788,                 1.7918,                 1.4689,               0.006766,               0.006766,               0.006766
                     51,                0.99712,                0.86155,                 1.5236,                0.91888,                0.80723,                 0.8756,                0.66732,                  1.063,                 1.4753,                 1.4868,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0121,                0.89309,                 1.5392,                0.95811,                0.82664,                0.88958,                0.66317,                 1.0022,                 1.4945,                 1.4365,               0.006634,               0.006634,               0.006634
                     53,                 1.0183,                0.87029,                 1.5211,                0.89436,                0.85542,                0.90385,                0.67703,                0.92743,                  1.891,                 1.3976,               0.006568,               0.006568,               0.006568
                     54,                0.98785,                0.86064,                 1.5062,                0.94273,                0.85542,                0.88847,                0.67239,                 1.0216,                 1.3138,                 1.4604,               0.006502,               0.006502,               0.006502
                     55,                0.99675,                0.87145,                 1.5055,                0.90613,                0.81417,                0.88214,                0.67627,                 1.0192,                 1.3563,                  1.402,               0.006436,               0.006436,               0.006436
                     56,                0.99379,                0.87053,                 1.5102,                0.94688,                0.85904,                0.88348,                0.65687,                 1.0098,                 2.0532,                 1.5173,                0.00637,                0.00637,                0.00637
                     57,                0.97589,                0.81627,                  1.492,                0.91067,                0.83133,                0.88074,                0.65919,                0.98764,                 1.4021,                 1.4217,               0.006304,               0.006304,               0.006304
                     58,                0.96352,                0.85421,                 1.4696,                0.93595,                0.85542,                 0.8896,                0.67405,                  0.983,                 1.5591,                 1.4451,               0.006238,               0.006238,               0.006238
                     59,                0.99272,                0.86055,                 1.4866,                 0.9198,                0.85542,                0.89627,                0.66182,                 1.0683,                 1.2471,                 1.4643,               0.006172,               0.006172,               0.006172
                     60,                0.95408,                0.80157,                 1.4558,                0.91486,                0.81928,                0.88366,                0.67399,                0.82335,                 1.3318,                 1.2831,               0.006106,               0.006106,               0.006106
                     61,                0.98635,                0.84011,                 1.4822,                0.94354,                0.80537,                 0.8888,                0.67671,                0.84912,                 1.1356,                 1.3298,                0.00604,                0.00604,                0.00604
                     62,                0.92337,                0.75303,                 1.4247,                0.94256,                0.85542,                0.89044,                0.67429,                 1.0821,                 1.1133,                  1.409,               0.005974,               0.005974,               0.005974
                     63,                0.94706,                0.78246,                 1.4487,                0.93952,                0.84337,                0.89843,                0.66222,                0.92602,                0.98143,                 1.3772,               0.005908,               0.005908,               0.005908
                     64,                0.94156,                0.79472,                 1.4695,                0.89979,                0.85542,                 0.8821,                0.67695,                0.93369,                 1.6285,                 1.5087,               0.005842,               0.005842,               0.005842
                     65,                 0.9131,                0.77834,                 1.4123,                0.93079,                0.85542,                0.90933,                0.69833,                0.82974,                  1.101,                  1.294,               0.005776,               0.005776,               0.005776
                     66,                0.91999,                0.77444,                 1.4161,                0.93499,                0.86637,                 0.8977,                0.69495,                0.86779,                 1.4717,                 1.2745,                0.00571,                0.00571,                0.00571
                     67,                0.91562,                0.76151,                 1.4321,                0.90751,                0.82757,                0.91051,                0.69501,                0.82197,                 1.3116,                 1.2451,               0.005644,               0.005644,               0.005644
                     68,                0.91384,                0.75984,                 1.4299,                0.90218,                0.88894,                0.89913,                0.67799,                0.97669,                 1.1103,                 1.4359,               0.005578,               0.005578,               0.005578
                     69,                 0.8884,                0.70814,                 1.3924,                0.88259,                0.90572,                0.92639,                0.69496,                0.91132,                 2.4002,                 1.3326,               0.005512,               0.005512,               0.005512
                     70,                0.90284,                0.73956,                 1.4009,                0.94263,                0.86747,                0.92333,                0.70335,                0.86522,                0.94438,                 1.3402,               0.005446,               0.005446,               0.005446
                     71,                0.89187,                0.72152,                 1.4035,                0.95312,                0.86747,                0.89184,                0.70209,                0.83249,                 1.1368,                 1.3187,                0.00538,                0.00538,                0.00538
                     72,                0.88301,                0.73191,                 1.3921,                0.95335,                0.81928,                0.89327,                0.68782,                0.99193,                 1.9788,                 1.4006,               0.005314,               0.005314,               0.005314
                     73,                0.87335,                  0.722,                 1.3726,                0.95688,                0.83133,                0.89723,                0.68132,                0.88828,                 1.0923,                 1.3713,               0.005248,               0.005248,               0.005248
                     74,                0.88289,                0.71905,                 1.3887,                0.92188,                0.85542,                0.89738,                0.69337,                0.90287,                 1.2904,                 1.3196,               0.005182,               0.005182,               0.005182
                     75,                0.87755,                0.71738,                 1.3917,                0.93537,                0.87195,                0.89731,                0.69262,                0.89335,                0.94021,                 1.3278,               0.005116,               0.005116,               0.005116
                     76,                0.84651,                0.70604,                 1.3689,                0.89863,                0.83133,                0.89302,                0.66857,                0.98465,                 1.3126,                 1.4176,                0.00505,                0.00505,                0.00505
                     77,                0.86078,                0.71306,                 1.3681,                0.94635,                0.83133,                0.91454,                0.68956,                0.95442,                 1.4719,                 1.4194,               0.004984,               0.004984,               0.004984
                     78,                0.85402,                0.71816,                 1.3668,                0.90844,                0.87952,                0.89504,                0.68329,                0.96409,                  1.321,                  1.446,               0.004918,               0.004918,               0.004918
                     79,                0.83431,                0.70302,                 1.3463,                0.91318,                0.88705,                0.89563,                0.69297,                0.94668,                 1.2969,                 1.3806,               0.004852,               0.004852,               0.004852
                     80,                0.81854,                0.65252,                 1.3202,                0.92827,                0.86747,                0.90011,                0.70037,                0.97314,                 1.5006,                 1.4211,               0.004786,               0.004786,               0.004786
                     81,                0.81662,                0.65433,                 1.3326,                0.91192,                0.87952,                0.90608,                0.71457,                0.86797,                0.97844,                 1.3332,                0.00472,                0.00472,                0.00472
                     82,                0.81513,                0.64049,                 1.3553,                0.91018,                0.85542,                0.90522,                0.69574,                0.90687,                 1.3436,                 1.3709,               0.004654,               0.004654,               0.004654
                     83,                0.82495,                0.67876,                 1.3378,                0.96207,                0.83133,                0.89829,                0.69293,                0.84854,                 1.1999,                 1.3453,               0.004588,               0.004588,               0.004588
                     84,                0.84015,                0.69244,                 1.3528,                0.93391,                0.85136,                0.89519,                0.68493,                0.86824,                  1.325,                 1.2477,               0.004522,               0.004522,               0.004522
                     85,                    0.8,                0.65191,                 1.3113,                0.95382,                0.80723,                0.86801,                0.64957,                 1.0171,                 1.7044,                 1.3998,               0.004456,               0.004456,               0.004456
                     86,                 0.8101,                0.64112,                 1.3081,                0.90182,                0.88534,                0.91582,                0.69877,                 0.8927,                 1.1483,                  1.326,                0.00439,                0.00439,                0.00439
                     87,                0.78871,                0.64902,                  1.311,                0.85953,                0.88467,                0.90389,                0.69177,                0.83671,                 1.1522,                 1.3084,               0.004324,               0.004324,               0.004324
                     88,                0.77812,                0.64621,                 1.3005,                0.90582,                0.85542,                0.89526,                0.70711,                0.86165,                 1.1058,                 1.2992,               0.004258,               0.004258,               0.004258
                     89,                0.77944,                0.63705,                 1.3023,                  0.959,                0.84539,                0.89954,                0.70519,                0.86677,                0.95191,                 1.2591,               0.004192,               0.004192,               0.004192
                     90,                0.78915,                0.64955,                 1.3009,                0.92208,                0.86747,                0.90215,                0.70563,                0.83995,                 1.1919,                 1.2786,               0.004126,               0.004126,               0.004126
                     91,                0.79065,                0.65451,                 1.2965,                 0.9069,                0.87952,                0.90249,                0.69743,                0.91709,                 1.4401,                 1.3096,                0.00406,                0.00406,                0.00406
                     92,                0.77914,                0.63726,                 1.3162,                0.89957,                0.86341,                0.90347,                0.70617,                0.92603,                 1.4015,                  1.382,               0.003994,               0.003994,               0.003994
                     93,                0.79385,                 0.6406,                 1.3037,                0.94225,                0.83133,                0.91397,                0.70004,                0.92188,                 1.2429,                 1.3598,               0.003928,               0.003928,               0.003928
                     94,                0.75291,                0.60939,                 1.2868,                0.96028,                0.87381,                0.91668,                0.71872,                0.90984,                 1.0369,                  1.347,               0.003862,               0.003862,               0.003862
                     95,                0.75102,                0.62473,                 1.2753,                0.98567,                0.82863,                0.90251,                0.72335,                0.85142,                 1.1102,                 1.2945,               0.003796,               0.003796,               0.003796
                     96,                0.77392,                0.62942,                 1.3015,                0.93164,                0.85542,                0.89862,                0.69406,                0.91554,                0.91743,                 1.3335,                0.00373,                0.00373,                0.00373
                     97,                0.74736,                0.59292,                 1.2633,                0.92155,                0.87952,                0.90804,                0.70343,                   0.83,                0.96875,                 1.2849,               0.003664,               0.003664,               0.003664
                     98,                0.76153,                0.61276,                 1.2631,                0.92206,                0.89157,                0.92247,                0.70687,                0.87002,                0.70744,                 1.3122,               0.003598,               0.003598,               0.003598
                     99,                0.74808,                0.62822,                 1.2736,                0.89826,                0.85106,                0.91412,                0.70794,                0.91781,                 1.0858,                 1.4054,               0.003532,               0.003532,               0.003532
                    100,                 0.7128,                 0.5782,                 1.2484,                0.91193,                0.90361,                0.92033,                0.71523,                0.90814,                0.92096,                 1.3291,               0.003466,               0.003466,               0.003466
                    101,                0.73427,                0.59481,                 1.2571,                0.90258,                0.89304,                0.91943,                 0.7135,                 0.9136,                0.71642,                 1.3504,                 0.0034,                 0.0034,                 0.0034
                    102,                0.75013,                0.60273,                 1.2818,                0.89741,                0.89157,                0.90331,                0.71414,                0.89993,                 1.0809,                 1.3481,               0.003334,               0.003334,               0.003334
                    103,                0.73408,                0.59012,                  1.278,                0.97211,                 0.8398,                0.92952,                0.72573,                0.86443,                 0.8705,                 1.3035,               0.003268,               0.003268,               0.003268
                    104,                0.72233,                0.58544,                 1.2478,                 0.9473,                0.86635,                0.91365,                0.70962,                0.84654,                0.77062,                   1.28,               0.003202,               0.003202,               0.003202
                    105,                0.71675,                0.57236,                 1.2389,                0.89923,                0.87952,                0.90566,                0.69815,                 0.8915,                 1.0783,                 1.3152,               0.003136,               0.003136,               0.003136
                    106,                0.70276,                0.57106,                 1.2346,                0.91355,                0.84337,                 0.9108,                0.71725,                0.81158,                0.93931,                 1.2686,                0.00307,                0.00307,                0.00307
                    107,                0.71418,                0.55514,                 1.2563,                0.96491,                0.81928,                 0.9057,                0.70756,                0.86885,                0.94981,                 1.3032,               0.003004,               0.003004,               0.003004
                    108,                0.68796,                0.54403,                 1.2103,                0.96896,                0.86747,                0.91733,                0.70766,                0.84588,                0.73944,                 1.2514,               0.002938,               0.002938,               0.002938
                    109,                0.67973,                0.55416,                 1.2237,                0.90732,                0.86747,                0.91344,                0.72288,                0.88357,                0.80078,                 1.3145,               0.002872,               0.002872,               0.002872
                    110,                0.68264,                0.52013,                 1.2077,                0.91575,                0.85542,                0.89948,                0.71033,                0.76368,                 1.0303,                  1.182,               0.002806,               0.002806,               0.002806
                    111,                0.68673,                0.55974,                 1.2123,                0.92065,                0.83878,                0.90627,                0.72076,                0.76109,                 1.2398,                  1.215,                0.00274,                0.00274,                0.00274
                    112,                0.70054,                0.55332,                 1.2211,                0.93583,                0.87849,                 0.9193,                0.71142,                0.80376,                0.65267,                 1.2485,               0.002674,               0.002674,               0.002674
                    113,                0.68275,                0.54986,                 1.2189,                0.94637,                0.85049,                0.91015,                0.71811,                0.83478,                0.99118,                 1.2928,               0.002608,               0.002608,               0.002608
                    114,                0.67614,                0.53207,                 1.2005,                 0.9469,                0.87952,                0.91566,                0.71923,                0.85975,                0.89374,                  1.311,               0.002542,               0.002542,               0.002542
                    115,                0.68814,                0.54219,                 1.2115,                0.93393,                0.85158,                0.90943,                  0.732,                  0.808,                0.82689,                 1.2482,               0.002476,               0.002476,               0.002476
                    116,                0.64902,                0.51324,                 1.1966,                0.96444,                0.84337,                0.90395,                0.73855,                0.79099,                0.80512,                 1.2377,                0.00241,                0.00241,                0.00241
                    117,                0.65228,                0.52927,                 1.1955,                0.97204,                0.85542,                 0.9104,                 0.7228,                0.80958,                0.88743,                 1.2662,               0.002344,               0.002344,               0.002344
                    118,                0.65303,                 0.5282,                 1.1909,                0.92002,                0.85542,                0.90184,                0.71841,                0.81734,                 1.0836,                 1.3034,               0.002278,               0.002278,               0.002278
                    119,                0.67474,                0.54789,                 1.2217,                0.93491,                0.86533,                0.90495,                0.71094,                0.80047,                0.93878,                 1.2811,               0.002212,               0.002212,               0.002212
                    120,                0.66089,                0.55033,                 1.2052,                0.91239,                0.87831,                0.90273,                0.71828,                0.77746,                0.93295,                 1.2163,               0.002146,               0.002146,               0.002146
                    121,                0.65096,                0.51386,                 1.1949,                 0.9349,                0.86511,                0.91437,                0.72995,                0.79878,                0.78757,                 1.2399,                0.00208,                0.00208,                0.00208
                    122,                0.65792,                0.52505,                 1.2084,                0.90308,                0.89814,                0.92203,                0.73101,                 0.8223,                0.73307,                 1.2677,               0.002014,               0.002014,               0.002014
                    123,                0.64365,                0.50999,                 1.1759,                0.92482,                0.88927,                0.91644,                0.72606,                 0.8688,                0.86013,                 1.2917,               0.001948,               0.001948,               0.001948
                    124,                0.64752,                0.53549,                 1.1955,                0.97082,                0.85542,                0.92056,                0.71789,                0.80168,                0.74914,                 1.2567,               0.001882,               0.001882,               0.001882
                    125,                0.63957,                0.49781,                 1.1928,                0.93657,                0.88952,                0.91238,                0.72423,                0.82996,                0.87185,                 1.3007,               0.001816,               0.001816,               0.001816
                    126,                0.63237,                0.49269,                 1.1761,                0.92365,                0.87452,                0.91235,                0.72112,                0.84063,                0.89874,                 1.3113,                0.00175,                0.00175,                0.00175
                    127,                 0.6254,                0.49134,                 1.1717,                0.95332,                0.86747,                0.90127,                0.72341,                0.82618,                0.84375,                  1.323,               0.001684,               0.001684,               0.001684
                    128,                 0.6382,                0.51471,                 1.1802,                 0.9594,                0.85415,                0.90262,                0.71839,                0.82729,                0.83636,                 1.2881,               0.001618,               0.001618,               0.001618
                    129,                0.63133,                0.51235,                 1.1826,                0.97001,                0.86747,                0.91809,                0.72551,                0.87943,                0.73789,                 1.3158,               0.001552,               0.001552,               0.001552
                    130,                0.61698,                0.49844,                 1.1708,                  0.935,                0.89157,                0.91151,                0.73402,                0.83786,                0.95591,                 1.3359,               0.001486,               0.001486,               0.001486
                    131,                0.60813,                0.48961,                 1.1606,                0.94731,                0.86643,                0.91468,                0.73007,                0.85685,                0.84612,                 1.3084,                0.00142,                0.00142,                0.00142
                    132,                 0.6091,                0.49276,                 1.1689,                0.94704,                0.85542,                0.91537,                0.73934,                0.80534,                0.76888,                 1.2739,               0.001354,               0.001354,               0.001354
                    133,                0.61568,                0.49395,                 1.1626,                0.91087,                0.85542,                0.90418,                0.73339,                0.83472,                0.86122,                  1.269,               0.001288,               0.001288,               0.001288
                    134,                0.61459,                 0.4986,                 1.1613,                0.88163,                0.89735,                0.91731,                0.73156,                0.84076,                0.93763,                 1.2906,               0.001222,               0.001222,               0.001222
                    135,                0.61615,                0.49586,                 1.1772,                 0.9417,                0.86747,                0.91426,                0.74478,                0.81954,                0.90322,                 1.2621,               0.001156,               0.001156,               0.001156
                    136,                0.60203,                0.47669,                  1.161,                0.90059,                0.89157,                0.92523,                0.74927,                0.82528,                0.82749,                 1.2504,                0.00109,                0.00109,                0.00109
                    137,                0.59851,                0.46978,                 1.1486,                0.93571,                0.87952,                0.92244,                0.74529,                0.79987,                0.78193,                  1.226,               0.001024,               0.001024,               0.001024
                    138,                0.58531,                0.47468,                 1.1471,                0.90526,                0.89157,                0.91076,                0.74503,                0.88119,                0.84258,                 1.2781,               0.000958,               0.000958,               0.000958
                    139,                0.58581,                0.46848,                 1.1365,                0.93253,                0.87952,                0.90331,                 0.7418,                0.80844,                0.92539,                  1.241,               0.000892,               0.000892,               0.000892
                    140,                 0.4515,                 0.3514,                 1.0043,                0.86979,                0.90361,                0.92258,                0.74216,                0.82091,                0.97292,                 1.2654,               0.000826,               0.000826,               0.000826
                    141,                0.42197,                0.31778,                0.98788,                0.93781,                0.90361,                0.93953,                 0.7656,                0.88931,                0.63027,                 1.3259,                0.00076,                0.00076,                0.00076
                    142,                0.41096,                0.31242,                0.98763,                0.90332,                0.90059,                0.92392,                0.74671,                 0.8476,                0.83292,                 1.2562,               0.000694,               0.000694,               0.000694
                    143,                0.40701,                0.31175,                0.97652,                0.94767,                0.87284,                0.92248,                0.75492,                0.81595,                0.83181,                 1.2402,               0.000628,               0.000628,               0.000628
                    144,                0.40704,                0.30851,                0.97705,                0.94797,                0.87804,                0.92771,                0.76565,                0.78068,                0.78475,                 1.2254,               0.000562,               0.000562,               0.000562
                    145,                0.40281,                0.31986,                0.96473,                0.96696,                0.86747,                0.92507,                0.75579,                0.77954,                0.82454,                 1.2487,               0.000496,               0.000496,               0.000496
                    146,                0.39021,                0.30527,                0.96724,                0.94403,                0.86747,                0.93748,                0.76428,                0.81147,                0.69091,                 1.2538,                0.00043,                0.00043,                0.00043
                    147,                0.37968,                0.29608,                0.95654,                0.94711,                0.87952,                0.93445,                0.75237,                0.79703,                0.74219,                 1.2615,               0.000364,               0.000364,               0.000364
                    148,                0.37957,                0.29539,                 0.9585,                0.95023,                0.86747,                0.92832,                0.75169,                0.83225,                0.76634,                 1.2713,               0.000298,               0.000298,               0.000298
                    149,                0.38182,                0.29606,                0.96705,                0.94796,                0.87789,                0.92952,                0.75439,                0.83164,                0.75452,                 1.2696,               0.000232,               0.000232,               0.000232
